"field","value","count","example_ids"
"population","Human; adult age range 24-51 reported for IBD patients","1","DS082"
"population","Chinese cohort; 5 UC patients and 5 control individuals","1","DS080"
"sample_type","Colon biopsies","4","DS004; DS006; DS025; DS052"
"sample_type","Intestinal biopsies","3","DS016; DS085; DS110"
"sample_type","Colonic mucosal biopsies","3","DS015; DS063; DS088"
"sample_type","Mucosal biopsies","3","DS060; DS061; DS062"
"sample_type","Stool","3","DS023; DS056; DS057"
"sample_type","Feces","3","DS024; DS026; DS059"
"sample_type","Rectal biopsies","3","DS038; DS039; DS040"
"sample_type","Ileal biopsies","3","DS005; DS041; DS047"
"sample_type","Colonic biopsies","2","DS064; DS067"
"sample_type","Colon mucosa","2","DS030; DS031"
"sample_type","PBMC","2","DS068; DS069"
"sample_type","Whole blood","2","DS028; DS109"
"sample_type","Terminal ileal mucosal biopsies","2","DS021; DS094"
"sample_type","Fecal samples","2","DS058; DS120"
"sample_type","Intestinal mucosal biopsies","2","DS011; DS014"
"sample_type","Peripheral blood","2","DS012; DS029"
"sample_type","Intestinal biopsies / tissue sections","2","DS118; DS119"
"sample_type","Peripheral blood mononuclear cells","2","DS095; DS112"
"sample_type","Colon tissue","1","DS093"
"sample_type","Colonic endoscopic biopsies","1","DS092"
"sample_type","Descending colon pinch biopsies","1","DS090"
"sample_type","Inflamed intestinal mucosal samples; ulcer sampling site","1","DS091"
"sample_type","Fresh-frozen colon tissue; macroscopically non-inflamed colon samples in this RNA-seq subseries","1","DS096"
"sample_type","Stool samples","1","DS081"
"sample_type","Fecal specimens; microbial cell-envelope enriched fractions","1","DS082"
"sample_type","Intestinal biopsy tissue","1","DS079"
"sample_type","FFPE intestinal/colon tissue","1","DS080"
"sample_type","Colon biopsy","1","DS083"
"sample_type","Mesenteric adipose tissue","1","DS087"
"sample_type","Sorted CD8+CD69+ tissue-resident T-cell subsets from terminal ileum; epithelium and lamina propria; CD103+ and CD103-","1","DS089"
"sample_type","Inflamed colonic mucosal biopsies","1","DS084"
"sample_type","Intestinal epithelial cells dissociated from ileal endoscopic biopsies","1","DS086"
"sample_type","Purified/cultured human intestinal fibroblasts","1","DS097"
"sample_type","Isolated lamina propria mononuclear cells","1","DS111"
"sample_type","Peripheral blood and colon immune cells","1","DS113"
"sample_type","Rectum biopsy","1","DS107"
"sample_type","Endoscopic pinch biopsies; colon tissue; FFPE-derived RNA","1","DS108"
"sample_type","Colon biopsy cells","1","DS114"
"sample_type","Peripheral blood mononuclear cells / nuclei","1","DS117"
"sample_type","Peripheral blood DNA","1","DS121"
"sample_type","Blood cells","1","DS115"
"sample_type","Colon biopsy immune/cell suspensions","1","DS116"
"sample_type","Colonic biopsy samples","1","DS106"
"sample_type","Peripheral blood-derived macrophages treated with colonic-resection viral-like particles","1","DS100"
"sample_type","Colonic mucosal endoscopic pinch biopsies","1","DS101"
"sample_type","Monocytes","1","DS098"
"sample_type","Peripheral blood-derived mononuclear cells; PBMC-derived macrophages","1","DS099"
"sample_type","Intestinal biopsies; whole blood","1","DS102"
"sample_type","Rectal and ileal tissue biopsies","1","DS104"
"sample_type","Baseline colonic biopsies","1","DS105"
"sample_type","Patient-derived intestinal epithelial organoids from colon","1","DS103"
"sample_type","Serum; feces","1","DS122"
"sample_type","Terminal ileum and colon cells across epithelial, immune, and stromal compartments","1","DS078"
"sample_type","Blood plasma","1","DS027"
"sample_type","Caco-2 cells; purified mouse intestinal epithelial cells; mouse intestinal crypts","1","DS032"
"sample_type","Gut biopsies","1","DS019"
"sample_type","Ileal resection tissue; PBMC","1","DS020"
"sample_type","DNA (source specimen unclear in public record)","1","DS035"
"sample_type","Rectum; ileum; PBMC immune cells","1","DS044"
"sample_type","Colonic lamina propria; blood","1","DS045"
"sample_type","Rectal mucosal biopsies","1","DS042"
"sample_type","FFPE ileal and colonic biopsies","1","DS043"
"sample_type","Paired whole blood and colon biopsy","1","DS007"
"sample_type","Intestinal biopsies; colonic specimens","1","DS008"
"sample_type","Stool; Biopsy; Blood","1","DS001"
"sample_type","Biopsy specimens","1","DS003"
"sample_type","Endoscopic pinch biopsies","1","DS009"
"sample_type","Colonic cells","1","DS017"
"sample_type","FFPE intestinal tissue sections","1","DS018"
"sample_type","Mucosal biopsy samples","1","DS010"
"sample_type","Peripheral whole blood","1","DS013"
"sample_type","Colonic mesenchyme cells","1","DS071"
"sample_type","Sorted colonic CD8 T cells","1","DS072"
"sample_type","Colon biopsy specimens","1","DS066"
"sample_type","Colonic epithelial cells from biopsies","1","DS070"
"sample_type","Colon mucosa cells: epithelial, immune, stromal","1","DS073"
"sample_type","Single-cell suspensions from colonic biopsies; sorted immune and non-immune fractions","1","DS076"
"sample_type","Cells extracted from colonic biopsies; mucosal and circulating B-cell-focused analysis","1","DS077"
"sample_type","Sorted intestinal T cells; IEL and lamina propria compartments","1","DS074"
"sample_type","Patient-derived fibroblasts / stromal cells","1","DS075"
"sample_type","Sigmoid colon biopsies","1","DS049"
"sample_type","Blood serum; low-mass 1-25 kDa serum fraction","1","DS050"
"sample_type","Surgical bowel tissue","1","DS046"
"sample_type","Colon mucosal biopsies","1","DS048"
"sample_type","Ileum and colon biopsies","1","DS051"
"sample_type","Serum","1","DS055"
"sample_type","Colon epithelial biopsies","1","DS065"
"sample_type","Colon biopsies/tissue; blood plasma","1","DS053"
"sample_type","Colon resections","1","DS054"
"tissue_site","Colon","26","DS006; DS008; DS011; DS015; DS030; DS031; DS048; DS052"
"tissue_site","Stool/Feces","10","DS023; DS024; DS026; DS056; DS057; DS058; DS059; DS081"
"tissue_site","Blood","9","DS012; DS013; DS028; DS029; DS068; DS069; DS109; DS115"
"tissue_site","Rectum","5","DS038; DS039; DS040; DS042; DS107"
"tissue_site","Colon mucosa","4","DS017; DS018; DS073; DS076"
"tissue_site","Colon/intestinal mucosa","3","DS060; DS062; DS064"
"tissue_site","Blood/PBMC","3","DS095; DS112; DS117"
"tissue_site","Ileum","3","DS005; DS041; DS086"
"tissue_site","Ileum; colon","3","DS016; DS043; DS051"
"tissue_site","Ileum; rectum; colon","2","DS118; DS119"
"tissue_site","Colon; colonic mucosa","2","DS077; DS084"
"tissue_site","Blood/serum","2","DS050; DS055"
"tissue_site","Unclear","2","DS009; DS035"
"tissue_site","Sigmoid colon","2","DS010; DS049"
"tissue_site","Blood; colon","2","DS007; DS113"
"tissue_site","Colon / intestinal tissue","1","DS080"
"tissue_site","Colon; ileum","1","DS091"
"tissue_site","Descending colon","1","DS090"
"tissue_site","Mesenteric adipose tissue; creeping fat; healthy mesenteric fat","1","DS087"
"tissue_site","Ileum; colon; some tissue_site NA in GEO sample titles","1","DS085"
"tissue_site","Terminal ileum; epithelium; lamina propria","1","DS089"
"tissue_site","Colon; 15 to 20 cm from anal verge","1","DS083"
"tissue_site","Ileum; inflamed mucosa and proximal non-inflamed mucosa","1","DS094"
"tissue_site","Rectum; ileum","1","DS104"
"tissue_site","Distal colon / colon-derived organoids","1","DS103"
"tissue_site","Intestine; colon regions unclear","1","DS110"
"tissue_site","Blood/Serum; Stool/Feces","1","DS122"
"tissue_site","Intestinal lamina propria","1","DS111"
"tissue_site","Blood / peripheral blood","1","DS099"
"tissue_site","Blood; monocytes","1","DS098"
"tissue_site","Macrophage assay; VLP isolates from colonic resections","1","DS100"
"tissue_site","Multiple intestinal regions including ascending colon, terminal ileum, rectum; blood","1","DS102"
"tissue_site","Colon; descending colon; sigmoid colon","1","DS101"
"tissue_site","Ileum; ileal mucosa","1","DS021"
"tissue_site","Ileum; blood","1","DS020"
"tissue_site","Sigmoid colon; colonic mucosa","1","DS025"
"tissue_site","Colon; intestinal epithelium","1","DS032"
"tissue_site","Blood/Plasma","1","DS027"
"tissue_site","Intestinal mucosa; multiple sites","1","DS003"
"tissue_site","Colon; Ileum; Rectum; Blood; Stool","1","DS001"
"tissue_site","Colon; sigmoid; rectum; ascending; descending; transverse","1","DS004"
"tissue_site","Intestinal mucosa; gut regions","1","DS019"
"tissue_site","Colon; terminal ileum","1","DS014"
"tissue_site","Intestinal mucosa","1","DS061"
"tissue_site","Colon mucosa; submucosa; bowel wall","1","DS054"
"tissue_site","Intestine","1","DS074"
"tissue_site","Terminal ileum; colon","1","DS078"
"tissue_site","Gut plus synovium, lung, lip/salivary gland","1","DS075"
"tissue_site","Colon; blood","1","DS045"
"tissue_site","Rectum; ileum; blood","1","DS044"
"tissue_site","Multiple intestinal sites","1","DS046"
"tissue_site","Colon; blood/plasma","1","DS053"
"tissue_site","Terminal ileum","1","DS047"
"omics_layer","Bulk transcriptomics","54","DS003; DS004; DS005; DS006; DS007; DS008; DS009; DS010"
"omics_layer","Single-cell transcriptomics","16","DS017; DS019; DS020; DS021; DS044; DS045; DS070; DS071"
"omics_layer","Methylation / Epigenomics","7","DS028; DS029; DS030; DS031; DS032; DS042; DS121"
"omics_layer","Metabolomics","5","DS027; DS055; DS057; DS059; DS122"
"omics_layer","Proteomics","5","DS023; DS025; DS051; DS079; DS080"
"omics_layer","Spatial transcriptomics","3","DS018; DS118; DS119"
"omics_layer","Metaproteomics","3","DS024; DS081; DS082"
"omics_layer","Single-cell transcriptomics; CITE-seq / surface-protein profiling","2","DS113; DS116"
"omics_layer","Bulk transcriptomics; mRNA RNA-seq; companion small RNA in study/superseries","1","DS096"
"omics_layer","Bulk transcriptomics; paired host-microbiome study context","1","DS094"
"omics_layer","Bulk transcriptomics; alternative splicing profiling","1","DS093"
"omics_layer","Bulk transcriptomics of sorted cells","1","DS089"
"omics_layer","Transcriptomics; promoter/enhancer activity profiling","1","DS090"
"omics_layer","Microbiome / metagenomic profiling","1","DS120"
"omics_layer","Single-nucleus multiome; Single-nucleus transcriptomics; Single-nucleus ATAC-seq","1","DS117"
"omics_layer","Bulk transcriptomics; transcript splicing / PSI profiling","1","DS104"
"omics_layer","Bulk transcriptomics; Methylation / Epigenomics","1","DS097"
"omics_layer","Bulk transcriptomics; miRNA / non-coding RNA profiling","1","DS098"
"omics_layer","Proteomics; targeted proteomics for PASS00661","1","DS050"
"omics_layer","Proteomics; N-terminomics","1","DS052"
"omics_layer","Genetics / GWAS","1","DS035"
"omics_layer","Multi-omics; Bulk transcriptomics; Metagenomics; Metatranscriptomics; Metabolomics; Metaproteomics; Virome","1","DS001"
"omics_layer","Metaproteomics; Metabolomics","1","DS026"
"omics_layer","Proteomics; multi-omics context includes plasma proteins, metabolites, and eicosanoids","1","DS053"
"omics_layer","Single-cell transcriptomics; TCR-seq; CITE-seq","1","DS072"
"omics_layer","Single-cell transcriptomics; single-cell IgH sequencing","1","DS077"
"omics_layer","Metagenomics; Metabolomics; Proteomics","1","DS058"
"omics_layer","Proteomics; Multi-omics","1","DS054"
"omics_layer","Metabolomics; Metagenomics","1","DS056"
"platform","Microarray","13","DS047; DS048; DS049; DS060; DS061; DS062; DS063; DS064"
"platform","RNA-seq","5","DS038; DS040; DS041; DS043; DS046"
"platform","Affymetrix Human Gene 1.0 ST Array","4","DS007; DS011; DS014; DS015"
"platform","Illumina HumanMethylation450 BeadChip","4","DS028; DS029; DS030; DS031"
"platform","Affymetrix Human Genome U133 Plus 2.0 Array","3","DS006; DS008; DS012"
"platform","scRNA-seq; Illumina NovaSeq 6000","3","DS019; DS114; DS115"
"platform","Single-cell RNA-seq","2","DS073; DS112"
"platform","scRNA-seq","2","DS020; DS045"
"platform","LC-MS/MS; liquid chromatography-tandem mass spectrometry","1","DS081"
"platform","RNA-seq; paired-end; NEBNext Ultra RNA with Poly-A selection; Illumina HiSeq 4000; STAR/Samtools/MISO; hg19","1","DS093"
"platform","RNA-seq of coding RNA; high-throughput sequencing; FASTQ filenames indicate Illumina HiSeq 4000","1","DS091"
"platform","RNA-seq of coding RNA; QIAseq UPX 3' Transcriptome libraries; Illumina MiSeq and NextSeq per IDF description","1","DS092"
"platform","RNA-seq; Illumina HiSeq 2500; TruSeq polyA+; GSNAP; hg19; DESeq-normalized counts","1","DS096"
"platform","RNA-seq; MBD-isolated genome sequencing (MiGS/MBD-Seq); Illumina HiSeq 2000","1","DS097"
"platform","RNA-seq; small RNA-seq / ncRNA-seq; Illumina Genome Analyzer IIx","1","DS098"
"platform","RNA-seq; single-end 75 bp; Illumina HiSeq 2500; Trimmomatic/Hisat2/featureCounts; hg19","1","DS094"
"platform","polyA RNA-seq; NEBNext Ultra II; NovaSeq S2; STAR/HTSeq; hg19/GRCh37","1","DS095"
"platform","RNA-seq; Illumina HiSeq 4000; GRCh38 alignment with GSNAP; HTSeqGenie counts","1","DS085"
"platform","RNA-seq; polyA RNA; single-end 50 bp; Illumina HiSeq 2500; hg19/TopHat2; edgeR differential analysis","1","DS086"
"platform","RNA-seq; Illumina HiSeq 4000; single-end PolyA RNA-seq","1","DS084"
"platform","Bottom-up proteomics; LC-MS/MS; Orbitrap Fusion Lumos","1","DS082"
"platform","Microarray; Affymetrix Human Genome U133 Plus 2.0 Array GPL570","1","DS083"
"platform","RNA-seq; Cel-Seq2; 75 bp paired-end; Illumina NextSeq 500; hg38/BWA; UMI-counted reads","1","DS089"
"platform","CAGE sequencing; Illumina HiSeq 2500; hg19/Bowtie; CTSS BED outputs","1","DS090"
"platform","Affymetrix Human Gene 1.0 ST Array; GPL6244","1","DS088"
"platform","RNA-seq; Illumina NovaSeq 6000","1","DS087"
"platform","Label-free LC-MS/MS; Q Exactive; Proteome Discoverer","1","DS080"
"platform","Single-cell RNA-seq; CITE-seq","1","DS113"
"platform","CITE-seq; scRNA-seq; Illumina NovaSeq 6000","1","DS116"
"platform","Microarray; Agilent whole human genome microarray","1","DS111"
"platform","Microarray; GPL32416","1","DS109"
"platform","Microarray; Affymetrix Human Gene 2.1 ST Array","1","DS110"
"platform","Illumina sequencing; source library metadata indicate metagenomic PCR-based profiling","1","DS120"
"platform","Illumina Infinium MethylationEPIC BeadChip","1","DS121"
"platform","Xenium In Situ Analyzer; GPL33762","1","DS119"
"platform","10x Genomics Multiome; paired RNA and ATAC from same nuclei; Illumina NovaSeq 6000","1","DS117"
"platform","NanoString CosMx SMI (human); GPL33484","1","DS118"
"platform","Illumina cDNA-mediated Annealing, Selection, Extension, and Ligation (DASL) microarray; GPL14951","1","DS108"
"platform","LC-MS metabolomics; Metabolomics Workbench studies ST003312 and ST003313","1","DS122"
"platform","Affymetrix GeneChip HTHGU133+ / HT-HG-U133+ PM Array Plate; GPL13158; RMA-normalized microarray data","1","DS102"
"platform","Microarray; Affymetrix Human Genome U133 Plus 2.0 Array GPL570; RMA-normalized expression","1","DS101"
"platform","RNA-seq; Illumina HiSeq 2000 GPL11154; STAR/featureCounts/DESeq2; hg19","1","DS099"
"platform","RNA-seq; Illumina NovaSeq 6000 GPL24676; STAR/HTSeq; hg19","1","DS100"
"platform","Affymetrix Human Genome U133 Plus 2.0 Array; GPL570","1","DS106"
"platform","Microarray; GPL13158; Affymetrix array platform","1","DS107"
"platform","RNA-seq; polyA RNA; Illumina HiSeq 2000; paired-end 2x50 bp; GRCh37/GSNAP via HTSeqGenie; DESeq2","1","DS105"
"platform","RNA-seq; Illumina HiSeq 2500; GPL16791","1","DS103"
"platform","RNA-seq; Illumina HiSeq 2500 GPL16791; Illumina HiSeq 4000 GPL20301","1","DS104"
"platform","LC-MS/MS; Q Exactive","1","DS025"
"platform","TMT MS3 proteomics; LC-MS/MS metabolomics; Orbitrap Fusion; Bruker Maxis qTOF","1","DS026"
"platform","LC-MS/MS; Orbitrap; Q Exactive","1","DS024"
"platform","10x Genomics single-cell 5 prime; Illumina NovaSeq 6000","1","DS021"
"platform","DIA-MS","1","DS023"
"platform","RNA-seq; NextSeq 550","1","DS039"
"platform","DNA methylation array","1","DS042"
"platform","Genotype array; Global Screening Array / GSA-related chips","1","DS035"
"platform","LC-MS; Thermo Q Exactive/Q Exactive Plus Orbitrap","1","DS027"
"platform","Infinium MethylationEPIC; Infinium MouseMethylation285 BeadChip","1","DS032"
"platform","RNA-seq; Illumina HiSeq 2000","1","DS005"
"platform","Affymetrix Human Genome U95 Version 2 Array","1","DS009"
"platform","RNA-seq; Illumina HiSeq 3000","1","DS004"
"platform","Multiple","1","DS001"
"platform","RNA-seq; Illumina HiSeq 2500","1","DS003"
"platform","scRNA-seq; Illumina NextSeq 500","1","DS017"
"platform","NanoString CosMx SMI","1","DS018"
"platform","Agilent Whole Human Genome Microarray 4x44K","1","DS016"
"platform","cDNA microarray; Human UniGene Set RZPD 1","1","DS010"
"platform","Affymetrix Human Genome U133 Plus 2.0 Array; Brainarray CDF","1","DS013"
"platform","10x Genomics single-cell RNA-seq; TCR-seq; CITE-seq","1","DS072"
"platform","10x Genomics scRNA-seq; Illumina NovaSeq 6000","1","DS074"
"platform","10x Chromium scRNA-seq; HiSeq 4000","1","DS071"
"platform","LC-MS/MS metabolomics","1","DS059"
"platform","10x Chromium scRNA-seq; Illumina NovaSeq 6000","1","DS070"
"platform","Single-cell RNA-seq; compartment-specific matrices","1","DS078"
"platform","Label-free LC-MS/MS; EASY-nLC 1200; Orbitrap Exploris 480","1","DS079"
"platform","Single-cell RNA-seq; single-cell IgH sequencing; Illumina HiSeq 2000","1","DS077"
"platform","RNA sequencing; ImmPort experiment EXP32680","1","DS075"
"platform","10x Chromium 5 prime and 3 prime scRNA-seq; Illumina HiSeq X Ten","1","DS076"
"platform","TAILS N-terminomics; shotgun/preTAILS proteomics; Orbitrap Fusion Lumos; MaxQuant","1","DS052"
"platform","LC-MS/MS proteomics; timsTOF Pro; MaxQuant; companion metabolite/eicosanoid assays in publication","1","DS053"
"platform","Label-free LC-MS/MS; Q Exactive; MaxQuant","1","DS051"
"platform","scRNA-seq; scTCR-seq; scBCR-seq","1","DS044"
"platform","Label-free LC-MS/MS; LTQ-FT Ultra; PeptideAtlas MRM for PASS00661","1","DS050"
"platform","LC-MS; HILIC and reversed-phase LC; Thermo Q Exactive Plus Orbitrap","1","DS057"
"platform","Shotgun metagenomics; mass spectrometry","1","DS058"
"platform","LC-MS; shotgun metagenomic sequencing; Thermo Q Exactive Orbitrap","1","DS056"
"platform","LC-MS/MS shotgun proteomics; EASY-nLC 1000; Q Exactive Plus; MaxQuant","1","DS054"
"platform","LC-MS; UPLC-MS/MS; Thermo Q Exactive Orbitrap","1","DS055"
"repository_type","Public archive","89","DS003; DS004; DS005; DS006; DS007; DS008; DS009; DS010"
"repository_type","Public functional genomics archive","14","DS085; DS086; DS089; DS090; DS095; DS096; DS102; DS105"
"repository_type","Public processed archive; controlled raw archive","3","DS114; DS115; DS116"
"repository_type","Public single-cell portal","2","DS073; DS078"
"repository_type","Controlled-access archive","2","DS035; DS117"
"repository_type","Public repository","1","DS122"
"repository_type","Public immunology repository","1","DS075"
"repository_type","Public proteomics archive","1","DS023"
"repository_type","Public portal; Public archive","1","DS021"
"repository_type","Multi-omics portal; public archive; controlled-access archive","1","DS001"
"repository_type","Public portal","1","DS027"
"data_access_status","Public raw data; Public processed data","48","DS003; DS004; DS005; DS006; DS007; DS008; DS011; DS012"
"data_access_status","Public processed data","8","DS019; DS042; DS045; DS046; DS048; DS049; DS073; DS078"
"data_access_status","Public raw and search output files","5","DS051; DS052; DS054; DS079; DS080"
"data_access_status","Public raw CEL files; public processed GEO data","4","DS088; DS107; DS109; DS110"
"data_access_status","Public processed data; Controlled raw data","2","DS115; DS116"
"data_access_status","Controlled access","2","DS035; DS117"
"data_access_status","Public raw/custom spatial files; Public GEO metadata","2","DS118; DS119"
"data_access_status","Public raw SRA data; public processed count/FPKM/TPM files","1","DS099"
"data_access_status","Public raw SRA data; public processed FPKM table","1","DS103"
"data_access_status","Public raw CEL files and processed GEO matrix data","1","DS102"
"data_access_status","Public raw CEL files; public processed GEO matrix","1","DS101"
"data_access_status","Public raw SRA data; public processed read-count files","1","DS100"
"data_access_status","Public raw SRA and processed raw/normalized count files","1","DS096"
"data_access_status","Public raw SRA and processed raw gene-count matrix","1","DS095"
"data_access_status","Public raw data via SRA; public processed TXT files via GEO","1","DS097"
"data_access_status","Public raw data via SRA; public processed bigWig files via GEO","1","DS098"
"data_access_status","Public raw SRA data; public processed raw-count CSV","1","DS094"
"data_access_status","Public processed GEO/Figshare objects; raw sequencing controlled in dbGaP phs003502.v1.p1","1","DS114"
"data_access_status","Public GEO record; raw/processed availability requires source-level confirmation","1","DS113"
"data_access_status","Public raw sequencing data; public metadata","1","DS120"
"data_access_status","Public raw and processed Metabolomics Workbench data","1","DS122"
"data_access_status","Public raw and processed GEO data","1","DS121"
"data_access_status","Public processed data; raw files not public due patient privacy","1","DS112"
"data_access_status","Public raw SRA and per-sample processed count/RPKM files","1","DS105"
"data_access_status","Public raw SRA data; public processed raw-count and PSI files","1","DS104"
"data_access_status","Public CEL files and GEO processed data","1","DS106"
"data_access_status","Public raw data; public processed GEO data","1","DS111"
"data_access_status","Public processed GEO data; raw data unclear","1","DS108"
"data_access_status","Public raw SRA data; public processed alternative-splicing events file","1","DS093"
"data_access_status","Public raw and processed/search data","1","DS050"
"data_access_status","Public processed data; controlled/planned raw access","1","DS043"
"data_access_status","Public PRIDE proteomics; other underlying data shared on reasonable request","1","DS053"
"data_access_status","Public raw data; public processed/source data","1","DS058"
"data_access_status","Public processed data; raw not confirmed","1","DS055"
"data_access_status","Public raw data; Public processed data; Public portal","1","DS027"
"data_access_status","Public raw data; processed data unclear","1","DS009"
"data_access_status","Public processed data; Controlled access (some components)","1","DS001"
