"dataset_id","dataset_name","study_family","analysis_scenarios","omics_layer","disease","specimen_type","anatomical_site","sample_size_subjects","sample_size_samples","data_access_status","reuse_readiness","accession","repository","dataset_url","publication_url","caveats"
"DS013","GSE94648","UC_mucosal_healing_blood_biomarkers_GSE94648","cd vs control; uc vs control; cd vs uc; bulk transcriptomics; treatment response","Bulk transcriptomics","Ulcerative colitis; Crohn disease; non-IBD controls","Peripheral whole blood","Blood","Unclear","97","Public raw data; public processed data","Analysis-ready candidate","GSE94648","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94648","https://pubmed.ncbi.nlm.nih.gov/28981629/","No major registry-level blocker identified"
"DS014","GSE75214","Leuven_TARGID_IBD_barrier_GSE75214","cd vs control; uc vs control; cd vs uc; mucosal biopsy; ileum; colon; bulk transcriptomics","Bulk transcriptomics","Ulcerative colitis; Crohn disease; controls","Intestinal mucosal biopsies","Colon; terminal ileum","Unclear","194","Public raw data; public processed data","Analysis-ready candidate","GSE75214","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75214","https://pubmed.ncbi.nlm.nih.gov/28885228/","No major registry-level blocker identified"
"DS015","GSE48958","UC_inflamed_colon_miRNA_mRNA_GSE48958","uc vs control; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Ulcerative colitis; controls","Colonic mucosal biopsies","Colon","21","21","Public raw data; public processed data","Analysis-ready candidate","GSE48958","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48958","https://pubmed.ncbi.nlm.nih.gov/25546151/","No major registry-level blocker identified"
"DS016","GSE179285","EMBARK_Genentech_IBD_mucosal_microarray","cd vs control; uc vs control; cd vs uc; mucosal biopsy; ileum; colon; bulk transcriptomics","Bulk transcriptomics","Crohn disease; ulcerative colitis; non-IBD controls","Intestinal biopsies","Ileum; colon","Unclear","254","Public raw data; public processed data","Analysis-ready candidate","GSE179285","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179285","https://pubmed.ncbi.nlm.nih.gov/34561227/","No major registry-level blocker identified"
"DS017","GSE214695","Macrophage_neutrophil_IBD_NatCommun2023","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon; single cell","Single-cell transcriptomics","Ulcerative colitis; Crohn disease; healthy controls","Colonic cells","Colon mucosa","18","18","Public raw data; public processed data","Analysis-ready candidate","GSE214695","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214695","https://pubmed.ncbi.nlm.nih.gov/37495570/","No major registry-level blocker identified"
"DS018","GSE234713","Macrophage_neutrophil_IBD_NatCommun2023","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon","Spatial transcriptomics","Ulcerative colitis; Crohn disease; healthy controls","FFPE intestinal tissue sections","Colon mucosa","9","9","Public raw data; public processed data","Analysis-ready candidate","GSE234713","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234713","https://pubmed.ncbi.nlm.nih.gov/37495570/","No major registry-level blocker identified"
"DS019","GSE282122","Anti_TNF_longitudinal_single_cell_IBD","cd vs uc; mucosal biopsy; single cell; treatment response","Single-cell transcriptomics","Crohn disease; ulcerative colitis","Gut biopsies","Intestinal mucosa; gut regions","41","216","Public processed data","Processed data reusable","GSE282122","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282122","https://pubmed.ncbi.nlm.nih.gov/39438660/","No major registry-level blocker identified"
"DS020","Martin et al. 2019 Cell / GIMATS anti-TNF resistance","scIBD_Gut_Cell_Atlas_source_cohort","mucosal biopsy; ileum; single cell; treatment response","Single-cell transcriptomics","Crohn disease","Ileal resection tissue; PBMC","Ileum; blood","Unclear","Unclear","Public raw data; public processed data","Analysis-ready candidate","GSE134809","GEO; SRA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134809","https://doi.org/10.1016/j.cell.2019.08.008","No major registry-level blocker identified"
"DS021","HCA Crohn ileal mucosa single-cell project","HCA_Crohn_ileal_mucosa_source_cohort","cd vs control; mucosal biopsy; ileum; single cell; treatment response; pediatric","Single-cell transcriptomics","Crohn disease; non-IBD controls","Terminal ileal mucosal biopsies","Ileum; ileal mucosa","27","27","Public raw data; public processed data","Analysis-ready candidate","GSE202052; HCA project 9dd91b6e-7c62-49d3-a3d4-74f603deffdb","Human Cell Atlas; GEO","https://explore.data.humancellatlas.org/projects/9dd91b6e-7c62-49d3-a3d4-74f603deffdb","https://pubmed.ncbi.nlm.nih.gov/36206201/","No major registry-level blocker identified"
"DS023","PXD033158 / MSV000089237 (IBD fecal DIA proteomics)","Genentech_IBD_fecal_DIA_proteomics","cd vs control; uc vs control; cd vs uc","Proteomics","Ulcerative colitis; Crohn disease; healthy controls","Stool samples","Stool","Cohort 1: HC/UC/CD n=5 each; Cohort 2: HC n=20, UC n=10, CD n=10","Unclear","Partial public raw data; public archive record","Analysis-ready candidate","PXD033158; MSV000089237","MassIVE; ProteomeXchange","https://www.ebi.ac.uk/pride/archive/projects/PXD033158","https://pubmed.ncbi.nlm.nih.gov/38552248/","No major registry-level blocker identified"
"DS024","PXD010371 (IBD fecal metaproteomics)","IBD_fecal_metaproteomics_diagnosis","cd vs control; uc vs control; cd vs uc","Metaproteomics","Crohn disease; ulcerative colitis; healthy controls; IBS; colon adenoma; gastric carcinoma","Stool samples","Stool","71","71","Public raw data; public processed data","Analysis-ready candidate","PXD010371","PRIDE/ProteomeXchange","https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010371","https://doi.org/10.1016/j.jprot.2019.04.009","No major registry-level blocker identified"
"DS025","PXD001608 (UC mucosal proteomics)","UC_NET_colon_biopsy_proteomics","uc vs control; mucosal biopsy; colon","Proteomics","Ulcerative colitis; healthy controls","Colonic biopsies","Sigmoid colon; colonic mucosa","20","20 biopsies; 60 raw LC-MS/MS runs indicated by triplicates","Public raw data; public processed data","Analysis-ready candidate","PXD001608","PRIDE/ProteomeXchange","https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001608","https://pubmed.ncbi.nlm.nih.gov/25993694/","No major registry-level blocker identified"
"DS026","MSV000086509 (IBD fecal proteomics + metabolomics)","IBD200_location_specific_CD_multiomics","cd vs control; uc vs control; cd vs uc","Metaproteomics; Metabolomics","Crohn disease; ulcerative colitis; healthy controls","Stool samples","Stool","182","210 fecal samples initially; 182 core analysis subjects","Partial public raw data; public processed data","Analysis-ready candidate","MSV000086509","MassIVE","https://massive.ucsd.edu/ProteoSAFe/QueryMSV?id=MSV000086509","https://doi.org/10.1186/s40168-022-01331-x","No major registry-level blocker identified"
"DS029","GSE32148 (IBD peripheral blood methylation 450K)","GSE32148_IBD_PBL_methylation","cd vs control; uc vs control; cd vs uc","DNA methylation / epigenomics","Crohn disease; ulcerative colitis; controls","Peripheral blood","Blood","48","48","Public raw data; public processed data","Analysis-ready candidate","GSE32148","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32148","https://pubmed.ncbi.nlm.nih.gov/22467598/","No major registry-level blocker identified"
"DS030","GSE32146 (IBD colon methylation 450K)","Kellermayer_pediatric_IBD_colon_methylation","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon; pediatric","DNA methylation / epigenomics","Crohn disease; ulcerative colitis; controls","Colon mucosa","Colon","24","25","Public raw data; public processed data","Analysis-ready candidate","GSE32146","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32146","https://pubmed.ncbi.nlm.nih.gov/24937444/","No major registry-level blocker identified"
"DS031","GSE42921 (IBD colon methylation validation 450K)","Kellermayer_pediatric_IBD_colon_methylation","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon; pediatric","DNA methylation / epigenomics","Crohn disease; ulcerative colitis; controls","Colon mucosa","Colon","22","23","Public raw data; public processed data","Analysis-ready candidate","GSE42921","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42921","https://pubmed.ncbi.nlm.nih.gov/24937444/","No major registry-level blocker identified"
"DS038","GSE109142 PROTECT pediatric UC rectal RNA-seq","PROTECT_pediatric_UC_rectal_RNAseq","uc vs control; mucosal biopsy; colon; bulk transcriptomics; treatment response; pediatric","Bulk transcriptomics","Pediatric ulcerative colitis; non-IBD controls","Rectal biopsies","Rectum","226 samples in GEO; publication reports 206 UC discovery, 50 UC validation, and 20 controls across deposited PROTECT/RISK context","226","Public raw data; public processed data","Raw data reusable","GSE109142","GEO/SRA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109142","https://www.nature.com/articles/s41467-018-07841-3","sample metadata not fully checked"
"DS044","GSE125527 single-cell landscape of ulcerative colitis","UCSD_UC_single_cell_GSE125527","uc vs control; mucosal biopsy; ileum; colon; single cell","Single-cell transcriptomics","Ulcerative colitis; healthy controls","Rectal tissue; ileal tissue; PBMC immune cells","Rectum; ileum; blood","Unclear","Unclear","Public raw data; public processed data","Raw data reusable","GSE125527","GEO/SRA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527","https://pubmed.ncbi.nlm.nih.gov/32826341/","sample metadata not fully checked"
"DS051","PXD012284 Crohn ileal and colonic ulcer proteomics","Crohn_ileal_colonic_ulcer_proteomics","mucosal biopsy; ileum; colon","Proteomics","Crohn disease","Ileum and colon biopsies","Ileum; colon","16","32 biopsies; 96 RAW files","Public raw and search output files","Analysis-ready candidate","PXD012284","PRIDE","https://www.omicsdi.org/dataset/pride/PXD012284","https://pubmed.ncbi.nlm.nih.gov/31282946/","No major registry-level blocker identified"
"DS052","PXD014479 ulcerative colitis protease N-terminomics","UC_colon_protease_N_terminomics","uc vs control; mucosal biopsy; colon","Proteomics; N-terminomics","Ulcerative colitis; healthy controls","Colonic biopsies","Colon","6","6 biopsies; 6 RAW files","Public raw and search output files","Analysis-ready candidate","PXD014479","PRIDE","https://www.omicsdi.org/dataset/pride/PXD014479","https://pubmed.ncbi.nlm.nih.gov/31393699/","No major registry-level blocker identified"
"DS053","PXD030775 deep phenotyping of UC remission states","UC_deep_phenotyping_remission_multiomics","mucosal biopsy; colon; treatment response","Proteomics; multi-omics context includes plasma proteins, metabolites, and eicosanoids","Ulcerative colitis","Colonic biopsies/tissue; blood plasma","Colon; blood/plasma","Active UC tissue/plasma n=12; additional active UC plasma-only n=4; remission UC n=12; healthy controls n=11","Colon tissue: 5 locations per 12 active UC patients; PRIDE has 98 RAW files, 2 PEAK, 2 SEARCH, 1 OTHER","Public PRIDE proteomics; other underlying data shared on reasonable request","Analysis-ready candidate","PXD030775","PRIDE","https://www.omicsdi.org/dataset/pride/PXD030775","https://pubmed.ncbi.nlm.nih.gov/36961872/","No major registry-level blocker identified"
"DS054","PXD050335 Crohn colon wall proteomics","Crohn_colon_wall_compartment_proteomics","mucosal biopsy; colon","Proteomics; Multi-omics","Crohn disease","Colon resections","Colon mucosa; submucosa; bowel wall","29 specimens reported; exact unique donors unclear","52 compartment proteomics samples inferred from PRIDE RAW files and paper table","Public raw and search output files","Analysis-ready candidate","PXD050335","PRIDE","https://www.omicsdi.org/dataset/pride/PXD050335","https://pubmed.ncbi.nlm.nih.gov/38791146/","No major registry-level blocker identified"
"DS055","ST000899 serum metabolomics in CD and UC","Serum_metabolomics_CD_UC_controls","cd vs control; uc vs control; cd vs uc","Metabolomics","Crohn disease; ulcerative colitis; controls","Serum","Blood/Serum","60","60","Public processed data; raw not confirmed","Processed data reusable","ST000899","Metabolomics Workbench","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000899","https://pubmed.ncbi.nlm.nih.gov/29681789/","No major registry-level blocker identified"
"DS057","ST002471 PROTECT pediatric UC stool metabolomics","PROTECT_pediatric_UC_metabolomics","pediatric","Metabolomics","Ulcerative colitis","Stool samples","Stool","91 subjects","91 stool samples","Public raw data; public processed data","Analysis-ready candidate","ST002471","Metabolomics Workbench","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002471","https://doi.org/10.1016/j.chom.2023.12.013","No major registry-level blocker identified"
"DS058","MSV000082094 UC Bacteroides vulgatus multi-omics","Bacteroides_vulgatus_UC_multiomics","uc vs control","Metagenomics; Metabolomics; Proteomics","Ulcerative colitis; controls","Stool samples","Stool","40 UC primary cohort; validation cohort includes 73 UC, 117 CD, 20 healthy controls","40 UC primary cohort; 210 validation samples; exact per-omics file/sample counts unclear","Public raw data; public processed/source data","Analysis-ready candidate","MSV000082094; PRJEB42151; PRJEB42155","MassIVE; ENA","https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000082094","https://www.nature.com/articles/s41564-021-01050-3","No major registry-level blocker identified"
"DS060","GSE87473 moderate-to-severe UC mucosal expression","golimumab_UC_pediatric_adult_GSE87473","uc vs control; mucosal biopsy; colon; bulk transcriptomics; treatment response; pediatric","Bulk transcriptomics","Ulcerative colitis; controls","Mucosal biopsies","Colon/intestinal mucosa","Unclear","127","Public raw data; public processed data","Analysis-ready candidate","GSE87473","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87473","https://pubmed.ncbi.nlm.nih.gov/29401083/","No major registry-level blocker identified"
"DS063","GSE14580 UC infliximab response mucosal expression","Leuven_infliximab_UC_Gut2009","mucosal biopsy; colon; bulk transcriptomics; treatment response","Bulk transcriptomics","Ulcerative colitis","Colonic mucosal biopsies","Colon","Unclear","30","Public raw data; public processed data","Raw data reusable","GSE14580","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14580","https://pubmed.ncbi.nlm.nih.gov/19700435/","sample metadata not fully checked"
"DS064","GSE52746 Crohn anti-TNF mucosal expression","anti_TNF_CD_Barcelona_GSE52746","mucosal biopsy; colon; bulk transcriptomics; treatment response","Bulk transcriptomics","Crohn disease","Colonic biopsies","Colon/intestinal mucosa","Unclear","39","Public raw data; public processed data","Raw data reusable","GSE52746","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52746","Unclear","sample metadata not fully checked"
"DS065","GSE11223 UC colon epithelial biopsy expression","Genentech_Edinburgh_UC_colon_regional_microarray","uc vs control; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Ulcerative colitis; healthy controls","Colon epithelial biopsies","Colon","Unclear","202","Public raw data; public processed data","Raw data reusable","GSE11223","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11223","Unclear","sample metadata not fully checked"
"DS066","GSE4183 colon inflammation adenoma cancer IBD expression","colon_inflammation_adenoma_cancer_GSE4183","mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","IBD/inflammation; adenoma; colorectal cancer; controls","Colonic biopsy specimens","Colon","Unclear","53","Public raw data; public processed data","Raw data reusable","GSE4183","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE4183","Unclear","sample metadata not fully checked"
"DS067","GSE38713 UC active and inactive mucosa expression","UC_active_inactive_mucosa_GSE38713","uc vs control; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Active ulcerative colitis; inactive ulcerative colitis; non-inflammatory controls","Colonic biopsies","Colon","Unclear","43","Public raw data; public processed data","Raw data reusable","GSE38713","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38713","Unclear","sample metadata not fully checked"
"DS068","GSE3365 PBMC expression in IBD","IBD_PBMC_GSE3365","cd vs control; uc vs control; cd vs uc; bulk transcriptomics","Bulk transcriptomics","Crohn disease; ulcerative colitis; healthy controls","PBMC","Blood","Unclear","127","Public raw data; public processed data","Raw data reusable","GSE3365","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3365","Unclear","sample metadata not fully checked"
"DS069","GSE107865 PBMC infliximab response in Crohn","Gaujoux_IFX_CD_blood_GSE107865","bulk transcriptomics; treatment response","Bulk transcriptomics","Crohn disease","PBMC","Blood","Unclear","22","Public raw data; public processed data","Raw data reusable","GSE107865","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107865","Unclear","sample metadata not fully checked"
"DS070","GSE116222 UC colonic epithelial single-cell atlas","scIBD_Gut_Cell_Atlas_source_cohort","uc vs control; mucosal biopsy; colon; single cell","Single-cell transcriptomics","Ulcerative colitis; healthy controls","Colonic epithelial cells from biopsies","Colon","Unclear","9 GEO samples","Public raw data; public processed data","Analysis-ready candidate","GSE116222","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116222","https://doi.org/10.1038/s41586-019-0992-y","No major registry-level blocker identified"
"DS071","GSE114374 UC colonic mesenchyme single-cell atlas","scIBD_Gut_Cell_Atlas_source_cohort","uc vs control; mucosal biopsy; colon; single cell","Single-cell transcriptomics","Ulcerative colitis; healthy controls","Colonic mesenchyme cells","Colon","4 human subjects","4 human samples; 10 GEO samples total including mouse","Public raw data; public processed data","Analysis-ready candidate","GSE114374","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114374","https://doi.org/10.1016/j.cell.2018.08.067","No major registry-level blocker identified"
"DS072","GSE148837 UC colonic CD8 T-cell single-cell atlas","scIBD_source_cohort","uc vs control; mucosal biopsy; colon; single cell","Single-cell transcriptomics; TCR-seq; CITE-seq","Ulcerative colitis; healthy controls","Sorted colonic CD8 T cells","Colon","Unclear","20 GEO samples","Public raw data; public processed data","Analysis-ready candidate","GSE148837","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148837","https://doi.org/10.1038/s41591-020-1003-4","No major registry-level blocker identified"
"DS073","SCP259 UC colon single-cell rewiring atlas","scIBD_source_cohort","uc vs control; mucosal biopsy; colon; single cell","Single-cell transcriptomics","Ulcerative colitis; healthy controls","Colon mucosa cells: epithelial, immune, stromal","Colon mucosa","30 subjects","365492 cells in Single Cell Portal record","Public processed data","Processed data reusable","SCP259","Single Cell Portal","https://singlecell.broadinstitute.org/single_cell/study/SCP259","https://doi.org/10.1016/j.cell.2019.06.029","No major registry-level blocker identified"
"DS074","GSE157477 Crohn intestinal T-cell single-cell atlas","scIBD_Gut_Cell_Atlas_source_cohort","cd vs control; mucosal biopsy; single cell","Single-cell transcriptomics","Crohn disease; controls","Sorted intestinal T cells; IEL and lamina propria compartments","Intestine","4 subjects","11 GEO samples","Public raw data; public processed data","Analysis-ready candidate","GSE157477","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157477","https://doi.org/10.1038/s41467-021-22164-6","No major registry-level blocker identified"
"DS076","GSE121380 pediatric colitis and IBD mucosal single-cell atlas","scIBD_Gut_Cell_Atlas_source_cohort","cd vs uc; mucosal biopsy; colon; single cell; pediatric","Single-cell transcriptomics","Pediatric-onset colitis; Crohn disease; ulcerative colitis; IBD","Single-cell suspensions from colonic biopsies; sorted immune and non-immune fractions","Colon mucosa","8 patients","13 GEO samples/libraries","Public raw data; public processed data","Analysis-ready candidate","GSE121380","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121380","https://doi.org/10.1016/j.cell.2019.10.027","No major registry-level blocker identified"
"DS077","GSE182270 UC plasmablast-skewed humoral response single-cell atlas","Gut_Cell_Atlas_IBDTransDB_source_cohort","uc vs control; mucosal biopsy; colon; single cell","Single-cell transcriptomics; single-cell IgH sequencing","Ulcerative colitis; healthy controls","Cells extracted from colonic biopsies; mucosal and circulating B-cell-focused analysis","Colon; colonic mucosa","9 subjects","9 GEO samples","Public raw data; public processed data","Analysis-ready candidate","GSE182270","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182270","https://doi.org/10.1038/s41591-022-01680-y","No major registry-level blocker identified"
"DS078","SCP1884 Crohn ileum and colon single-cell atlas","Gut_Cell_Atlas_source_cohort","cd vs control; mucosal biopsy; ileum; colon; single cell","Single-cell transcriptomics","Crohn disease; controls; varying inflammation status","Terminal ileum and colon cells across epithelial, immune, and stromal compartments","Terminal ileum; colon","71 donors","720633 cells","Public processed data","Processed data reusable","SCP1884","Single Cell Portal","https://singlecell.broadinstitute.org/single_cell/study/SCP1884","https://doi.org/10.1016/j.immuni.2023.01.002","No major registry-level blocker identified"
"DS079","PXD030121 UC infliximab response proteomics","Zhengzhou_IFX_UC_proteomics_PXD030121","mucosal biopsy; colon; treatment response","Proteomics","Ulcerative colitis","Intestinal biopsy tissue","Colon","12","12 biological samples; 12 RAW files","Public raw and search output files","Analysis-ready candidate","PXD030121","PRIDE","https://www.ebi.ac.uk/pride/archive/projects/PXD030121","https://pubmed.ncbi.nlm.nih.gov/35770079/","No major registry-level blocker identified"
"DS080","PXD061040 UC FFPE intestinal tissue proteomics","UC_FFPE_intestinal_tissue_proteomics","uc vs control; mucosal biopsy; colon","Proteomics","Ulcerative colitis; non-IBD controls","FFPE intestinal/colon tissue","Colon / intestinal tissue","10","10 samples; 10 RAW files","Public raw and search output files","Analysis-ready candidate","PXD061040","PRIDE","https://www.ebi.ac.uk/pride/archive/projects/PXD061040","https://pmc.ncbi.nlm.nih.gov/articles/PMC12203869/","No major registry-level blocker identified"
"DS081","MSV000093975 Crohn diet-intervention stool metaproteomics","Crohn_diet_intervention_stool_metaproteomics","cd vs control; treatment response","Metaproteomics","Crohn disease; healthy household controls","Stool samples","Stool","62 analyzed participants; source text also describes 70 enrolled participants before exclusions","209 stool samples processed before QC exclusions","Public raw data; article/additional files provide supporting processed outputs","Analysis-ready candidate","MSV000093975","MassIVE","https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000093975","https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01927-5","No major registry-level blocker identified"
"DS082","MSV000089099 / PXD032706 IBD flare-up fecal metaproteomics","IBD_flareup_fecal_metaproteomics","cd vs control; uc vs control; cd vs uc","Metaproteomics","Active ulcerative colitis; active Crohn disease; healthy controls","Stool samples; microbial cell-envelope enriched fractions","Stool","20 participants: 12 active IBD and 8 controls","20 fecal specimens; 40 microbiota LC-MS/MS analyses from fresh and post-freezing extractions","Public raw data and results","Analysis-ready candidate","MSV000089099; PXD032706","MassIVE; ProteomeXchange","https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD032706","https://pubmed.ncbi.nlm.nih.gov/35456018/","No major registry-level blocker identified"
