"study_family","dataset_count","counted_cohort_rows","not_counted_rows","unclear_countability_rows","primary_dataset_ids","all_dataset_ids","origin_types","omics_layers","diseases","specimen_types","anatomical_sites","clinical_trial_or_treatment","reuse_readiness_best","manual_review_needed","representative_source_url","notes"
"HCA_Crohn_ileal_mucosa_source_cohort","1","1","0","0","DS021","DS021","Consortium or atlas","Single-cell transcriptomics","Crohn disease; non-IBD controls","Terminal ileal mucosal biopsies","Ileum; ileal mucosa","FALSE","Analysis-ready candidate","FALSE","https://explore.data.humancellatlas.org/projects/9dd91b6e-7c62-49d3-a3d4-74f603deffdb","Single represented study-family row."
"IBD200_location_specific_CD_multiomics","2","1","1","0","DS026","DS026; DS059","Public repository accession","Metabolomics; Metaproteomics; Proteomics","Crohn disease; healthy controls; ulcerative colitis","Stool samples","Stool","FALSE","Analysis-ready candidate","FALSE","https://massive.ucsd.edu/ProteoSAFe/QueryMSV?id=MSV000086509","Review sibling rows before counting cohorts."
"IBDMDB_iHMP_HMP2","1","1","0","0","DS001","DS001","Consortium or atlas","Bulk transcriptomics; Metabolomics; Metagenomics; Metaproteomics; Metatranscriptomics; Microbiome; Multi-omics; Proteomics","Crohn disease; non-IBD controls; ulcerative colitis","Stool samples; blood; intestinal biopsies","Blood; Colon; Ileum; Rectum; Stool","FALSE","Processed data reusable","FALSE","https://ibdmdb.org","Single represented study-family row."
"IBD_PBMC_GSE3365","1","1","0","0","DS068","DS068","Public repository accession","Bulk transcriptomics","Crohn disease; healthy controls; ulcerative colitis","PBMC","Blood","FALSE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3365","Single represented study-family row."
"IBD_PBMC_multiome_EGAS50000000140","1","1","0","0","DS117","DS117","Public repository accession","Single-nucleus ATAC-seq; Single-nucleus multiome; Single-nucleus transcriptomics","Crohn disease; ulcerative colitis","Peripheral blood mononuclear cells / nuclei","Blood/PBMC","FALSE","Requires access approval","FALSE","https://ega-archive.org/studies/EGAS50000000140","Single represented study-family row."
"IBD_VLP_macrophage_response_GSE135223","1","1","0","0","DS100","DS100","Public repository accession","Bulk transcriptomics","Crohn disease; non-IBD controls; ulcerative colitis","Peripheral blood-derived macrophages treated with colonic-resection viral-like particles","Macrophage assay; VLP isolates from colonic resections","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135223","Single represented study-family row."
"IBD_colon_blood_scRNAseq_GSE150115","1","1","0","0","DS045","DS045","Public repository accession","Bulk transcriptomics; Single-cell transcriptomics","Crohn disease; Ulcerative colitis; controls","Colonic lamina propria; blood","Colon; blood","FALSE","Metadata usable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150115","Single represented study-family row."
"IBD_descending_colon_CAGE_GSE95437","1","1","0","0","DS090","DS090","Consortium or atlas","Transcriptomics; promoter/enhancer activity profiling","Crohn disease; Inflammatory bowel disease; healthy controls; ulcerative colitis","Descending colon pinch biopsies","Descending colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE95437","Single represented study-family row."
"IBD_endoscopic_biopsy_Wu2007_GSE6731","1","1","0","0","DS009","DS009","Public repository accession","Bulk transcriptomics","Active/inactive Crohn disease; active/inactive ulcerative colitis; controls; infectious colitis","Endoscopic pinch biopsies","","FALSE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6731","Single represented study-family row."
"IBD_fecal_metaproteomics_diagnosis","1","1","0","0","DS024","DS024","Public repository accession","Metaproteomics; Proteomics","Crohn disease; IBS; colon adenoma; gastric carcinoma; healthy controls; ulcerative colitis","Stool samples","Stool","FALSE","Analysis-ready candidate","FALSE","https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010371","Single represented study-family row."
"IBD_flareup_fecal_metaproteomics","1","1","0","0","DS082","DS082","Public repository accession","Metaproteomics; Proteomics","Active ulcerative colitis; active Crohn disease; healthy controls","Stool samples; microbial cell-envelope enriched fractions","Stool","FALSE","Analysis-ready candidate","FALSE","https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD032706","Single represented study-family row."
"IBD_gut_microbiome_dynamics_PRJEB18471","1","1","0","0","DS120","DS120","Public repository accession","Metagenomics","Crohn disease; healthy controls; ulcerative colitis","Stool samples","Stool","FALSE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB18471","Single represented study-family row."
"IBD_peripheral_blood_GSE11499","1","1","0","0","DS012","DS012","Public repository accession","Bulk transcriptomics","Crohn disease; ulcerative colitis","Peripheral blood","Blood","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11499","Single represented study-family row."
"IBD_predictor_biopsy_GSE36807","1","1","0","0","DS008","DS008","Public repository accession","Bulk transcriptomics","Crohn disease; healthy controls; ulcerative colitis","Intestinal biopsies; colonic specimens","Colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36807","Single represented study-family row."
"IBD_sigmoid_transcriptome_Lawrance2005_GSE1710","1","1","0","0","DS010","DS010","Public repository accession","Bulk transcriptomics","Crohn disease; non-IBD controls; ulcerative colitis","Mucosal biopsy samples","Sigmoid colon","FALSE","Processed data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE1710","Single represented study-family row."
"IBD_spatial_platform_benchmark_GSE312415_GSE312420","2","0","0","2","Unclear","DS118; DS119","Public repository accession","Spatial transcriptomics","Crohn disease; non-diseased controls; ulcerative colitis","Intestinal biopsies / tissue sections","Ileum; colon; rectum","FALSE","Processed data reusable","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312415","Review sibling rows before counting cohorts."
"IIBDGC_NIDDK_GSA_GWAS","1","0","1","0","Unclear","DS035","Consortium or atlas","Genetics / GWAS","Crohn disease; IBD; ulcerative colitis","DNA (source specimen unclear in public record)","","FALSE","Processed data reusable","FALSE","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002336.v1.p1","Single represented study-family row."
"Kellermayer_pediatric_IBD_colon_methylation","2","2","0","0","DS030; DS031","DS030; DS031","Public repository accession","DNA methylation / epigenomics","Crohn disease; controls; ulcerative colitis","Colon mucosa","Colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32146","Review sibling rows before counting cohorts."
"Leuven_TARGID_IBD_barrier_GSE75214","1","1","0","0","DS014","DS014","Public repository accession","Bulk transcriptomics","Crohn disease; Ulcerative colitis; controls","Intestinal mucosal biopsies","Colon; terminal ileum","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75214","Single represented study-family row."
"Leuven_infliximab_UC_Gut2009","1","1","0","0","DS063","DS063","Clinical trial or treatment cohort","Bulk transcriptomics","Ulcerative colitis","Colonic mucosal biopsies","Colon","TRUE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14580","Single represented study-family row."
"MSCCR_adult_IBD_biopsy_RNAseq","1","1","0","0","DS003","DS003","Public repository accession","Bulk transcriptomics","Crohn disease; controls; ulcerative colitis","Biopsy specimens","Intestinal mucosa; multiple sites","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193677","Single represented study-family row."
"Macrophage_neutrophil_IBD_NatCommun2023","3","3","0","0","DS004; DS017; DS018","DS004; DS017; DS018","Public repository accession","Bulk transcriptomics; Single-cell transcriptomics; Spatial transcriptomics","Crohn disease; Ulcerative colitis; healthy controls; ulcerative colitis","Colonic biopsies; Colonic cells; FFPE intestinal tissue sections","Colon; Colon mucosa; ascending colon; descending colon; rectum; sigmoid colon; transverse colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235236","Review sibling rows before counting cohorts."
"Mount_Sinai_IBD_surgical_bowel_RNAseq","1","1","0","0","DS046","DS046","Public repository accession","Bulk transcriptomics","Crohn disease; IBD; controls; ulcerative colitis","Surgical bowel tissue","Multiple intestinal sites","FALSE","Metadata usable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83687","Single represented study-family row."
"NOD2_monocyte_Crohn_RNA_miRNA_GSE69446","1","1","0","0","DS098","DS098","Public repository accession","Bulk transcriptomics","Crohn disease; healthy controls","Monocytes","Blood; monocytes","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69446","Single represented study-family row."
"PRISM_Broad_stool_multiomics","1","1","0","0","DS056","DS056","Public repository accession","Metabolomics; Metagenomics","IBD; controls","Stool samples","Stool","FALSE","Analysis-ready candidate","FALSE","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST001000","Single represented study-family row."
"PROTECT_pediatric_UC","1","0","0","1","Unclear","DS042","Consortium or atlas","DNA methylation / epigenomics","Pediatric ulcerative colitis","Rectal mucosal biopsies","Rectum","FALSE","Metadata usable","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185061","Review sibling rows before counting cohorts."
"PROTECT_pediatric_UC_metabolomics","2","1","1","0","DS057","DS027; DS057","Consortium or atlas","Metabolomics","Ulcerative colitis","Blood plasma; Stool samples","Blood/Plasma; Stool","FALSE","Analysis-ready candidate","FALSE","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002470","Review sibling rows before counting cohorts."
"PROTECT_pediatric_UC_rectal_RNAseq","2","1","1","0","DS038","DS038; DS039","Consortium or atlas","Bulk transcriptomics","Pediatric ulcerative colitis; non-IBD controls","Rectal biopsies","Rectum","FALSE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109142","Review sibling rows before counting cohorts."
"PROgECT_golimumab_UC","1","1","0","0","DS083","DS083","Clinical trial or treatment cohort","Bulk transcriptomics","Ulcerative colitis","Colonic biopsy","15 to 20 cm from anal verge; Colon","TRUE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212849","Single represented study-family row."
"PURSUIT-SC_golimumab_UC","1","0","1","0","Unclear","DS048","Clinical trial or treatment cohort","Bulk transcriptomics","Ulcerative colitis","Colonic mucosal biopsies","Colon","TRUE","Metadata usable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92415","Single represented study-family row."
"RISK_pediatric_Crohn_methylation","1","0","0","1","Unclear","DS121","Consortium or atlas","DNA methylation / epigenomics","Pediatric Crohn disease; non-IBD controls","Peripheral blood DNA","Blood","FALSE","Raw data reusable","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112611","Review sibling rows before counting cohorts."
"RISK_pediatric_IBD_mucosal_RNAseq","3","0","0","3","Unclear","DS005; DS040; DS041","Consortium or atlas","Bulk transcriptomics","Pediatric Crohn disease; non-IBD controls; pediatric ulcerative colitis; ulcerative colitis","Ileal biopsies; Rectal biopsies","Ileum; Rectum","FALSE","Processed data reusable","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57945","Review sibling rows before counting cohorts."
"SP140_Crohn_functional_genomics","2","0","0","2","Unclear","DS095; DS099","Public repository accession","Bulk transcriptomics","Crohn disease; healthy controls; macrophage donor disease status unknown","PBMC-derived macrophages; Peripheral blood mononuclear cells; Peripheral blood-derived mononuclear cells","Blood / peripheral blood; Blood/PBMC","FALSE","Processed data reusable","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161031","Review sibling rows before counting cohorts."
"Serum_metabolomics_CD_UC_controls","1","1","0","0","DS055","DS055","Public repository accession","Metabolomics","Crohn disease; controls; ulcerative colitis","Serum","Blood/Serum","FALSE","Processed data reusable","FALSE","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST000899","Single represented study-family row."
"UCSD_UC_single_cell_GSE125527","1","1","0","0","DS044","DS044","Consortium or atlas","Bulk transcriptomics; Single-cell transcriptomics","Ulcerative colitis; healthy controls","PBMC immune cells; Rectal tissue; ileal tissue","Rectum; blood; ileum","FALSE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527","Single represented study-family row."
"UC_FFPE_intestinal_tissue_proteomics","1","1","0","0","DS080","DS080","Public repository accession","Proteomics","Ulcerative colitis; non-IBD controls","FFPE intestinal/colon tissue","Colon / intestinal tissue","FALSE","Analysis-ready candidate","FALSE","https://www.ebi.ac.uk/pride/archive/projects/PXD061040","Single represented study-family row."
"UC_NET_colon_biopsy_proteomics","1","1","0","0","DS025","DS025","Public repository accession","Proteomics","Ulcerative colitis; healthy controls","Colonic biopsies","Sigmoid colon; colonic mucosa","FALSE","Analysis-ready candidate","FALSE","https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001608","Single represented study-family row."
"UC_active_inactive_mucosa_GSE38713","1","1","0","0","DS067","DS067","Public repository accession","Bulk transcriptomics","Active ulcerative colitis; inactive ulcerative colitis; non-inflammatory controls","Colonic biopsies","Colon","FALSE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38713","Single represented study-family row."
"UC_colon_organoid_GSE102746","1","1","0","0","DS103","DS103","Public repository accession","Bulk transcriptomics","Ulcerative colitis; non-IBD controls","Patient-derived intestinal epithelial organoids from colon","Distal colon / colon-derived organoids","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102746","Single represented study-family row."
"UC_colon_protease_N_terminomics","1","1","0","0","DS052","DS052","Public repository accession","Proteomics","Ulcerative colitis; healthy controls","Colonic biopsies","Colon","FALSE","Analysis-ready candidate","FALSE","https://www.omicsdi.org/dataset/pride/PXD014479","Single represented study-family row."
"UC_deep_phenotyping_remission_multiomics","1","1","0","0","DS053","DS053","Public repository accession","Multi-omics; Proteomics","Ulcerative colitis","Colonic biopsies/tissue; blood plasma","Colon; blood/plasma","FALSE","Analysis-ready candidate","FALSE","https://www.omicsdi.org/dataset/pride/PXD030775","Single represented study-family row."
"UC_healed_nonhealed_RNAseq_E-MTAB-9731","1","1","0","0","DS092","DS092","Public repository accession","Bulk transcriptomics","Ulcerative colitis","Colonic endoscopic biopsies","Colon","FALSE","Raw data reusable","FALSE","https://www.ebi.ac.uk/ena/browser/view/E-MTAB-9731","Single represented study-family row."
"UC_inflamed_colon_miRNA_mRNA_GSE48958","1","1","0","0","DS015","DS015","Public repository accession","Bulk transcriptomics","Ulcerative colitis; controls","Colonic mucosal biopsies","Colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48958","Single represented study-family row."
"UC_mucosal_healing_blood_biomarkers_GSE94648","1","1","0","0","DS013","DS013","Public repository accession","Bulk transcriptomics","Crohn disease; Ulcerative colitis; non-IBD controls","Peripheral whole blood","Blood","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94648","Single represented study-family row."
"UC_preinflammatory_mucosa_GSE9452","1","1","0","0","DS101","DS101","Public repository accession","Bulk transcriptomics","Ulcerative colitis; controls","Colonic mucosal endoscopic pinch biopsies","Colon; descending colon; sigmoid colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE9452","Single represented study-family row."
"UNIFI_ustekinumab_UC","1","1","0","0","DS049","DS049","Clinical trial or treatment cohort","Bulk transcriptomics","Ulcerative colitis","Sigmoid colon biopsies","Sigmoid colon","TRUE","Metadata usable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206285","Single represented study-family row."
"UNITI_ustekinumab_Crohn","3","0","0","3","Unclear","DS047; DS107; DS109","Clinical trial or treatment cohort","Bulk transcriptomics","Crohn disease; healthy controls","Ileal biopsies; Rectal biopsy; Whole blood","Blood; Rectum; Terminal ileum","TRUE","Processed data reusable","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112366","Review sibling rows before counting cohorts."
"Zhengzhou_IFX_UC_proteomics_PXD030121","1","1","0","0","DS079","DS079","Clinical trial or treatment cohort","Proteomics","Ulcerative colitis","Intestinal biopsy tissue","Colon","TRUE","Analysis-ready candidate","FALSE","https://www.ebi.ac.uk/pride/archive/projects/PXD030121","Single represented study-family row."
"active_quiescent_UC_DASL_GSE53306","1","1","0","0","DS108","DS108","Public repository accession","Bulk transcriptomics","Ulcerative colitis; healthy controls","Endoscopic pinch biopsies; FFPE-derived RNA; colon tissue","Colon","FALSE","Processed data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53306","Single represented study-family row."
"adalimumab_CD_mucosal_response_GSE98820","1","1","0","0","DS110","DS110","Clinical trial or treatment cohort","Bulk transcriptomics","Crohn disease","Intestinal biopsies","Intestine; colon regions unclear","TRUE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98820","Single represented study-family row."
"anti_TNF_CD_Barcelona_GSE52746","1","1","0","0","DS064","DS064","Clinical trial or treatment cohort","Bulk transcriptomics","Crohn disease","Colonic biopsies","Colon/intestinal mucosa","TRUE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52746","Single represented study-family row."
"anti_TNF_CD_IL23R_Erlangen_GSE111761","1","1","0","0","DS111","DS111","Clinical trial or treatment cohort","Bulk transcriptomics","Crohn disease","Isolated lamina propria mononuclear cells","Intestinal lamina propria","TRUE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111761","Single represented study-family row."
"anti_TNF_TREM1_Leuven_RNAseq_E-MTAB-7604","1","1","0","0","DS091","DS091","Clinical trial or treatment cohort","Bulk transcriptomics","Crohn disease and ulcerative colitis noted in study description; Inflammatory bowel disease","Inflamed intestinal mucosal samples; ulcer sampling site","Colon; ileum","TRUE","Analysis-ready candidate","FALSE","https://www.ebi.ac.uk/ena/browser/view/E-MTAB-7604","Single represented study-family row."
